2024-05-19 20:28:23.186 | INFO     | utils:log_output:58 - 进程50493: LassoLogistic————IS:               Params: code——A; rolling_period——104; C——0.5; penalty——l1               Sharpe: -0.0887495861678774
2024-05-19 20:28:26.484 | INFO     | utils:log_output:58 - 进程50494: LassoLogistic————IS:               Params: code——A; rolling_period——104; C——0.5; penalty——l2               Sharpe: 0.0176369442941305
2024-05-19 20:28:29.972 | INFO     | utils:log_output:58 - 进程50487: LassoLogistic————IS:               Params: code——A; rolling_period——104; C——1; penalty——l1               Sharpe: -0.021384150952904354
2024-05-19 20:28:33.459 | INFO     | utils:log_output:58 - 进程50488: LassoLogistic————IS:               Params: code——A; rolling_period——104; C——1; penalty——l2               Sharpe: 0.0859250568193514
2024-05-19 20:28:36.769 | INFO     | utils:log_output:58 - 进程50489: LassoLogistic————IS:               Params: code——A; rolling_period——104; C——5; penalty——l1               Sharpe: 0.10293176435273121
2024-05-19 20:28:40.281 | INFO     | utils:log_output:58 - 进程50490: LassoLogistic————IS:               Params: code——A; rolling_period——104; C——5; penalty——l2               Sharpe: 0.07142344924340593
2024-05-19 20:28:43.617 | INFO     | utils:log_output:58 - 进程50491: LassoLogistic————IS:               Params: code——A; rolling_period——104; C——10; penalty——l1               Sharpe: 0.10003137216663223
2024-05-19 20:28:47.068 | INFO     | utils:log_output:58 - 进程50492: LassoLogistic————IS:               Params: code——A; rolling_period——104; C——10; penalty——l2               Sharpe: 0.06232707991009008
2024-05-19 20:28:50.536 | INFO     | utils:log_output:58 - 进程50493: LassoLogistic————IS:               Params: code——A; rolling_period——104; C——50; penalty——l1               Sharpe: 0.10161340300730369
2024-05-19 20:28:53.877 | INFO     | utils:log_output:58 - 进程50494: LassoLogistic————IS:               Params: code——A; rolling_period——104; C——50; penalty——l2               Sharpe: 0.05692202055283967
2024-05-19 20:28:57.386 | INFO     | utils:log_output:58 - 进程50487: LassoLogistic————IS:               Params: code——A; rolling_period——208; C——0.1; penalty——l1               Sharpe: -0.36858636857748966
2024-05-19 20:29:00.922 | INFO     | utils:log_output:58 - 进程50488: LassoLogistic————IS:               Params: code——A; rolling_period——208; C——0.1; penalty——l2               Sharpe: 0.2466518141768652
2024-05-19 20:29:04.416 | INFO     | utils:log_output:58 - 进程50489: LassoLogistic————IS:               Params: code——A; rolling_period——208; C——0.5; penalty——l1               Sharpe: 0.42051875076330764
2024-05-19 20:29:07.919 | INFO     | utils:log_output:58 - 进程50490: LassoLogistic————IS:               Params: code——A; rolling_period——208; C——0.5; penalty——l2               Sharpe: 0.2568063949713926
2024-05-19 20:29:11.587 | INFO     | utils:log_output:58 - 进程50491: LassoLogistic————IS:               Params: code——A; rolling_period——208; C——1; penalty——l1               Sharpe: 0.36919001072869384
2024-05-19 20:29:14.869 | INFO     | utils:log_output:58 - 进程50492: LassoLogistic————IS:               Params: code——A; rolling_period——208; C——1; penalty——l2               Sharpe: 0.28186452759730823
2024-05-19 20:29:18.495 | INFO     | utils:log_output:58 - 进程50493: LassoLogistic————IS:               Params: code——A; rolling_period——208; C——5; penalty——l1               Sharpe: 0.2936029976748741
2024-05-19 20:29:21.804 | INFO     | utils:log_output:58 - 进程50494: LassoLogistic————IS:               Params: code——A; rolling_period——208; C——5; penalty——l2               Sharpe: 0.27487442358586534
2024-05-19 20:29:25.402 | INFO     | utils:log_output:58 - 进程50487: LassoLogistic————IS:               Params: code——A; rolling_period——208; C——10; penalty——l1               Sharpe: 0.29927456469022246
2024-05-19 20:29:28.648 | INFO     | utils:log_output:58 - 进程50488: LassoLogistic————IS:               Params: code——A; rolling_period——208; C——10; penalty——l2               Sharpe: 0.24137682755714665
2024-05-19 20:29:32.583 | INFO     | utils:log_output:58 - 进程50489: LassoLogistic————IS:               Params: code——A; rolling_period——208; C——50; penalty——l1               Sharpe: 0.31022233397792687
2024-05-19 20:29:35.785 | INFO     | utils:log_output:58 - 进程50490: LassoLogistic————IS:               Params: code——A; rolling_period——208; C——50; penalty——l2               Sharpe: 0.24823432601624162
2024-05-19 20:29:39.348 | INFO     | utils:log_output:58 - 进程50491: LassoLogistic————IS:               Params: code——A; rolling_period——312; C——0.1; penalty——l1               Sharpe: 0.07814689740151826
2024-05-19 20:29:43.304 | INFO     | utils:log_output:58 - 进程50492: LassoLogistic————IS:               Params: code——A; rolling_period——312; C——0.1; penalty——l2               Sharpe: 0.39320346071671486
